distance_A,sto3g,631g*,cc-pVDZ,cc-pVTZ
1.5,15.201013021708377,0.8420504798493766,0.8120188465575211,0.5310023631243439
1.7647058823529411,14.894135311192258,0.5258226364719576,0.48947852473315834,0.22249265443974764
2.0294117647058822,14.761317851667627,0.3736135434942298,0.33197428615062563,0.07134644938651036
2.2941176470588234,14.735283488725372,0.31813934732031157,0.27246679154040976,0.01331620368887343
2.5588235294117645,14.759634948561143,0.307939596481674,0.2597280148504524,0.0
2.8235294117647056,14.800824273173248,0.31536963625626413,0.26566871737099973,0.005076356638937796
3.088235294117647,14.839427449329605,0.32845019059982405,0.27775375298301697,0.01638853984081834
3.3529411764705883,14.868160426127588,0.3425008703259209,0.2910849574216172,0.028900502287569907
3.6176470588235294,14.887477108712574,0.3559035450468855,0.30389695714552545,0.040772447865037975
3.8823529411764706,14.900558345284708,0.36815295600467834,0.31561899907092084,0.05147873732039443
4.147058823529411,14.910152266863633,0.3790262688744406,0.326113447708849,0.0609647701146514
4.411764705882353,14.917861202274253,0.38843204147792676,0.33541191883523425,0.06933666388090387
4.676470588235294,14.924452377943226,0.39642805447715546,0.3435848126457586,0.0767319564445188
4.9411764705882355,14.930274951582078,0.4032216180046362,0.35071914845389074,0.08329020036194379
5.205882352941177,14.935499994781594,0.40908150742211546,0.35692641504488165,0.08914025074159326
5.470588235294118,14.940227688678306,0.41424668960848976,0.3623449438100579,0.09439315140639337
5.735294117647059,14.94452854948372,0.41888742286937486,0.3671228049970523,0.0991378979788351
6.0,14.948458078137719,0.42311041156494866,0.37139363683081683,0.10344144097757635
